,cod_modelo_color,cod_color_code,des_color_specification_esp,des_agrup_color_eng,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename
0,41085800-02,02,OFFWHITE,WHITE,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_41085800_02.jpg
1,53000586-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000586_TO.jpg
2,53030601-81,81,ROSA PASTEL,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53030601_81.jpg
3,53050730-15,15,MOSTAZA,YELLOW,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53050730_15.jpg
4,53070773-70,70,ROJO,RED,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_53070773_70.jpg
5,53003736-94,94,GRIS MEDIO VIGORE,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53003736_94.jpg
6,53045718-17,17,CARAMELO,YELLOW,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53045718_17.jpg
7,53050926-37,37,KHAKI,BROWN,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_53050926_37.jpg
8,53085736-96,96,GRIS OSCURO VIGORE,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53085736_96.jpg
9,53015770-02,02,OFFWHITE,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53015770_02.jpg
10,57007891-05,05,CRUDO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Jewellery,Earrings,datathon/images/2019_57007891_05.jpg
11,57064001-02,02,OFFWHITE,WHITE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_57064001_02.jpg
12,57067700-74,74,FRESA,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57067700_74.jpg
13,47086303-08,08,BEIGE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Totes bag,datathon/images/2023_47086303_08.jpg
14,57040032-32,32,CHOCOLATE,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Glasses,Sunglasses,datathon/images/2023_57040032_32.jpg
15,57040164-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Card holder,datathon/images/2023_57040164_99.jpg
16,57020260-83,83,ROSA PALO,PINK,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Wallet,datathon/images/2023_57020260_83.jpg
17,57050281-TM,TM,TEJANO MEDIO,BLUE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57050281_TM.jpg
18,57062516-99,99,NEGRO,GREY,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2023_57062516_99.jpg
19,57012888-12,12,AMARILLO,YELLOW,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57012888_12.jpg
20,57084018-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57084018_99.jpg
21,57085800-01,01,BLANCO,WHITE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_57085800_01.jpg
22,57004787-07,07,ARENA,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Crossbody bag,datathon/images/2023_57004787_07.jpg
23,57083821-99,99,NEGRO,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57083821_99.jpg
24,57049096-65,65,MORADO,PURPLE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,datathon/images/2023_57049096_65.jpg
25,57099098-05,05,CRUDO,WHITE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2023_57099098_05.jpg
26,57067753-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Outerwear,Jackets and Blazers,Jackets,Jacket,datathon/images/2023_57067753_TO.jpg
27,57079104-37,37,KHAKI,BROWN,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57079104_37.jpg
28,57057741-30,30,MARRON,BROWN,L-PIEL,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57057741_30.jpg
29,43031153-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2019_43031153_99.jpg
30,53070567-02,02,OFFWHITE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2019_53070567_02.jpg
31,53060575-52,52,AZUL,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Kerchief,datathon/images/2019_53060575_52.jpg
32,53050579-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2019_53050579_99.jpg
33,53030593-52,52,AZUL,BLUE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_53030593_52.jpg
34,53030547-05,05,CRUDO,WHITE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2019_53030547_05.jpg
35,51030638-45,45,AGUA,GREEN,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_51030638_45.jpg
36,53040741-56,56,NAVY,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53040741_56.jpg
37,53073709-99,99,NEGRO,GREY,P-PLANA,Outerwear,Jackets and Blazers,Blazers,Blazer,datathon/images/2019_53073709_99.jpg
38,53080599-37,37,KHAKI,BROWN,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53080599_37.jpg
39,53003725-99,99,NEGRO,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53003725_99.jpg
40,53053040-99,99,NEGRO,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_53053040_99.jpg
41,53090974-02,02,OFFWHITE,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53090974_02.jpg
42,53060987-02,02,OFFWHITE,WHITE,T-TRICOT,Tops,Tops,Tops,Top,datathon/images/2019_53060987_02.jpg
43,53063750-01,01,BLANCO,WHITE,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_53063750_01.jpg
44,53063755-TU,TU,TEJANO GRIS OSCURO,GREY,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53063755_TU.jpg
45,53015744-09,09,CAMEL,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53015744_09.jpg
46,51015740-02,02,OFFWHITE,WHITE,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2019_51015740_02.jpg
47,53085778-99,99,NEGRO,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53085778_99.jpg
48,53005773-96,96,GRIS OSCURO VIGORE,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53005773_96.jpg
49,57097878-43,43,VERDE,GREEN,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_57097878_43.jpg
50,57019206-81,81,ROSA PASTEL,PINK,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57019206_81.jpg
51,57067887-99,99,NEGRO,GREY,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57067887_99.jpg
52,57007710-99,99,NEGRO,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007710_99.jpg
53,57059203-85,85,ROSA,PINK,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57059203_85.jpg
54,57007709-99,99,NEGRO,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_57007709_99.jpg
55,57057700-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,datathon/images/2019_57057700_99.jpg
56,47010422-99,99,NEGRO,GREY,P-PLANA,Tops,Shirts,Shirt,Shirt,datathon/images/2023_47010422_99.jpg
57,47091297-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_47091297_99.jpg
58,57090027-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Gadgets,Umbrella,datathon/images/2023_57090027_99.jpg
59,57050034-52,52,AZUL,BLUE,J-JEANS,Tops,Tops,Tops,Top,datathon/images/2023_57050034_52.jpg
60,57022001-17,17,CARAMELO,YELLOW,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57022001_17.jpg
61,57002518-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Citybag,datathon/images/2023_57002518_99.jpg
62,57020256-88,88,FUCSIA,PINK,K-CIRCULAR,Tops,Tops,Tops,Top,datathon/images/2023_57020256_88.jpg
63,57020151-07,07,ARENA,WHITE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57020151_07.jpg
64,57000374-99,99,NEGRO,GREY,P-PLANA,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2023_57000374_99.jpg
65,57072516-99,99,NEGRO,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_57072516_99.jpg
66,47028651-99,99,NEGRO,GREY,K-CIRCULAR,"Accesories, Swim and Intimate",Swim and intimate,Swimwear,Bikini top,datathon/images/2023_47028651_99.jpg
67,57094012-91,91,GRIS CLARO VIGORE,GREY,P-PLANA,Outerwear,Jackets and Blazers,Vest,Vest,datathon/images/2023_57094012_91.jpg
68,57092003-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Wallets & cases,Wallet,datathon/images/2023_57092003_CU.jpg
69,57054422-08,08,BEIGE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Shoulder bag,datathon/images/2023_57054422_08.jpg
70,57001067-02,02,OFFWHITE,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2023_57001067_02.jpg
71,57023275-98,98,VISON,GREY,C-COMPLEMENTOS,Beauty,Fragance,Fragances,Bodymist,datathon/images/2023_57023275_98.jpg
72,57078266-TM,TM,TEJANO MEDIO,BLUE,J-JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_57078266_TM.jpg
73,57007734-08,08,BEIGE,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57007734_08.jpg
74,57007739-09,09,CAMEL,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2023_57007739_09.jpg
75,57073821-70,70,ROJO,RED,P-PLANA,Tops,Tops,Tops,Top,datathon/images/2023_57073821_70.jpg
76,57057740-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,"Hats, scarves and gloves",Beanie,datathon/images/2023_57057740_99.jpg
77,57096029-99,99,NEGRO,GREY,P-PLANA,Outerwear,Coats and Parkas,Coats,Coat,datathon/images/2023_57096029_99.jpg
78,53030594-08,08,BEIGE,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Bags,Handbag,datathon/images/2019_53030594_08.jpg
79,53000588-TC,TC,TEJANO CLARO,BLUE,J-JEANS,Bottoms,Jeans,Jeans,Jeans,datathon/images/2019_53000588_TC.jpg
80,53030547-TM,TM,TEJANO MEDIO,BLUE,J-JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,datathon/images/2019_53030547_TM.jpg
81,53090804-99,99,NEGRO,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2019_53090804_99.jpg
82,53023714-99,99,NEGRO,GREY,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53023714_99.jpg
83,53050881-17,17,CARAMELO,YELLOW,T-TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_53050881_17.jpg
84,53083040-08,08,BEIGE,WHITE,T-TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,datathon/images/2019_53083040_08.jpg
85,53050906-99,99,NEGRO,GREY,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_53050906_99.jpg
86,53095015-43,43,VERDE,GREEN,T-TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,datathon/images/2019_53095015_43.jpg
87,53013754-PL,PL,PLATA,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Glasses,Glasses,datathon/images/2019_53013754_PL.jpg
88,51055745-TO,TO,TEJANO OSCURO,BLUE,J-JEANS,Tops,Shirts,Shirt,Shirt,datathon/images/2019_51055745_TO.jpg
89,51015766-92,92,GRIS,GREY,P-PLANA,Bottoms,Trousers & leggings,Trousers,Trousers,datathon/images/2019_51015766_92.jpg
90,57044377-99,99,NEGRO,GREY,P-PLANA,Outerwear,Coats and Parkas,Trenchcoats,Trenchcoat,datathon/images/2019_57044377_99.jpg
91,57067883-99,99,NEGRO,GREY,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2019_57067883_99.jpg
92,57044755-80,80,NUDE,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2019_57044755_80.jpg
93,57045938-02,02,OFFWHITE,WHITE,K-CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,datathon/images/2019_57045938_02.jpg
94,57049203-17,17,CARAMELO,YELLOW,T-TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,datathon/images/2019_57049203_17.jpg
95,57097696-37,37,KHAKI,BROWN,P-PLANA,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2019_57097696_37.jpg
96,37010684-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2022_37010684_CU.jpg
97,47095844-02,02,OFFWHITE,WHITE,T-TRICOT,Bottoms,Skirts and shorts,Skirts,Skirt,datathon/images/2023_47095844_02.jpg
98,47037825-CU,CU,CUERO,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,datathon/images/2023_47037825_CU.jpg
99,57050037-OR,OR,ORO,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Accessories,Belts and Ties,Belt,datathon/images/2023_57050037_OR.jpg
100,57010726-88,88,FUCSIA,PINK,P-PLANA,Tops,Shirts,Shirt,Blouse,datathon/images/2023_57010726_88.jpg
101,47087132-08,08,BEIGE,WHITE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,datathon/images/2023_47087132_08.jpg
